"osm_id";"code";"fclass";"name";"website";"webiste2";"descr_ger";"descr_eng";"maps";"mapcategory";"lon";"lat"
"495333507";2304;"bar";"Irish Pub Bornheim";"http://www.irishpubbornheim.de/";"https://www.instagram.com/irish_pub_bornheim/";"Irish Pub mit internationalee Küche, Livesport und Musik. Jeden Donnerstag Pub-Quiz";"Irish pub with international cuisine, live sport and music. Pub quiz every Thursday";"https://g.page/irishpubbornheim?share";"bars_and_pubs";8.71151529969137;50.1287359004415
"540613359";2304;"bar";"The Fox and Hound";"http://www.foxpub.de/";"https://www.instagram.com/foxandhoundpub/";"Typischer englischer Pub mit Fish and Chips und Bier sowie Sportübertragungen";"Typical English pub with fish and chips and beer and sports broadcasts";"https://goo.gl/maps/uByGA4iGWKA6gj9S7";"bars_and_pubs";8.66309029957773;50.1113225003332
"1109640487";2304;"bar";"o'reilly's irish pub";"https://www.oreillys.com/frankfurt";"https://www.instagram.com/oreillysfrankfurt/";"Gemütlicher Pub mit stilvollem Holzmobiliar, Sport-TV und Karaoke";"Cosy pub with stylish wooden furniture, sports TV and karaoke";"https://g.page/oreillysfrankfurt?share";"bars_and_pubs";8.66565289976154;50.1065903001023
"2295978111";2305;"bar";"Good Times For Good People";"https://www.instagram.com/goodtimes_for_goodpeople/";NA;"Cocktails und Kuchen in trendigem Ambiente mit originellem Dekor und großem Außenbereich";"Cocktails and cakes in a trendy ambience with original décor and a large outdoor area";"https://goo.gl/maps/W1QehbFW7UnW7qU26";"bars_and_pubs";8.67882809993694;50.1173398002916
NA;0;"bar";"Jambo Bar";"https://www.instagram.com/barjambo/";NA;"Gesellige Bar in urbanem Ambiente mit über 60 Sorten Gin und Swahili-Streetfood";"Sociable bar in an urban ambience with over 60 types of gin and Swahili street food";"https://g.page/JamboBarFrankfurt?share";"bars_and_pubs";8.66885443504383;50.1078800995369
NA;0;"bar";"Sam's Sport Bar";"http://www.samssportsbar.de/";NA;"Samstags ist meistens Latin Night, d.h. ein DJ mit lateinamerikanischer Musik, Reggeton, Salsa usw.";"Mostly on saturdays there is Latin night, So that means a DJ with latin music, reggeton, salsa etc.";"https://g.page/samssportsbar?share";"bars_and_pubs";8.68511590242393;50.1169938683892
NA;0;"bar";"Doctor Flotte";"http://doctor-flotte.9gg.de/";NA;"Rauchen ist drinnen erlaubt und es laufen viele Fußballspiele auf dem Beamer";"Smoking inside is permitted and lots of football matches in the projector";"https://goo.gl/maps/MeZQaRQT9DMGFra6A";"bars_and_pubs";8.65030665410775;50.1205308050685
NA;0;"bar";"Yok Yok City Kiosk";"https://www.yokyoktreats.com/";NA;"Günstige Getränke in guter Umgebung";"Really cheap drinks with a really good environment";"https://goo.gl/maps/W8sGY1CniPCNMSuC7";"bars_and_pubs";8.66839144747755;50.1075945443317
NA;0;"bar";"Yok Yok Eden";"https://www.yokyoktreats.com/";NA;"Open-Air Kneipe mit großem Freisitz";"Open-air pub with large outdoor seating area";"https://goo.gl/maps/Lm4iPVRzexhtr86P8";"bars_and_pubs";8.66634820294825;50.1054709007639
NA;0;"bar";"Amarula Bar";"http://www.amarula-bar.de/";NA;"Gemütlicher Treffpunkt, bekannt für Getränke auf Amarula-Basis und DJs, die ein breites Spektrum an Genres spielen.";"Convivial hangout known for amarula-based drinks, plus DJs playing wide-ranging genres.";"https://goo.gl/maps/HiymG7zWXzZPmHDz5";"bars_and_pubs";8.68243910016409;50.115942182429
NA;0;"bar";"Bristol Bar";"https://www.bristol-hotel.de/bristol-bar/";NA;"Klein aber fein, kompetente Barkeeper, gute Musik und Stimmung, Rauchen erlaubt";"Small but fancy, competent bartenders, good music and vibes, smoking allowed";"https://goo.gl/maps/p3M17Xn4Sd8DLJfk7";"bars_and_pubs";8.65861279724048;50.1077326572442
"636868036";2303;"cafe";"The Holy Cross Brewing Society";"https://www.instagram.com/the_holy_cross_brewing_society/";NA;"Hausmischungen, sortenreine Kaffees, Gebäck und Milchschaumkreationen in einem Café im Industriestil";"House blends, single-origin coffees, pastries and milk foam creations in an industrial-style café";"https://goo.gl/maps/79ngtJBmyhf24yxBA";"cafes";8.6871584004399;50.1101792003099
"1581300039";2502;"cafe";"Zeit für Brot";"https://zeitfuerbrot.com/";"https://www.instagram.com/zeitfuerbrot/";"Traditionelle Bio-Bäckerei mit Kaffee und leckerem Brot";"Traditional organic bakery with coffee and delicious bread";"https://goo.gl/maps/39SYBubFtgf9MTZG6";"cafes";8.67955210004942;50.1194276996287
"1647258178";2303;"cafe";"Wacker";"https://www.wackers-kaffee.com/cafes#Stammhaus";"https://www.wackers-kaffee.com/cafes#Stammhaus";"Kaffee-Rösterei mit Platz zum Verweilen, bei einer feinen Tasse Kaffee, einem leckeren Frühstück oder süßen Naschereien";"Coffee roastery with space to linger over a fine cup of coffee, a delicious breakfast or sweet pastries";"https://goo.gl/maps/3PqYNfi4xQuH3eA9A";"cafes";8.67843749322574;50.1043264570249
"2647301987";2502;"cafe";"Zeit für Brot";"https://zeitfuerbrot.com/";"https://www.instagram.com/zeitfuerbrot/";"Traditionelle Bio-Bäckerei mit Kaffee und leckerem Brot";"Traditional organic bakery with coffee and delicious bread";"https://goo.gl/maps/SgGpovZzx5Hpvxxh7";"cafes";8.67946180002212;50.10318960012
"3118018338";2303;"cafe";"19zehn";"https://www.cafeneunzehn.de/";"https://www.instagram.com/19zehn/";"Kaffee, Bagel und Kuchen in einem kleinen gemütlichen Café";"Coffee, bagel and cake in a cosy little café";"https://goo.gl/maps/2RME2Tx4wWtmvPuNA";"cafes";8.66181520031131;50.1086621996009
"3818834727";2303;"cafe";"Hoppenworth & Ploch";"https://hoppenworth-ploch.de/";"https://www.instagram.com/hoppenworthundploch/";"Kaffeerösterei mit nachhaltig produzierten Kaffees aus der ganzen Welt";"Coffee roastery with sustainably produced coffees from around the world";"https://goo.gl/maps/gMViiTtSWmFSTdTc7";"cafes";8.6919305998174;50.1247934002952
